State,Organization,School Name,Reporting Year,Site ID (from CISDM),NCES School ID,CIS Model or GYS?,Non-traditional school?,Site Category,Site Type,"SC Presence at School:
 None (0 Hrs), (<32hrs) Part Time, (32+) Full Time",Parents Engaged,Total Alumni Served,Student Enrollment,Number of Students w/ ONLY WS Supports,Non-Case Managed Students,Case Managed Students,Total Students Served,"Students, Female - American Indian","Students, Female - Asian","Students, Female-
 Native Hawaiian/Other Pacific Islander","Students, Female - Black","Students, Female - Hispanic","Students, Female - White","Students, Female - Two or More Races","Students, Female - Other","Students, Female - Unknown","Students, Male - American Indian","Students, Male - Asian","Students, Male - 
Native Hawaiian/Other Pacific Islander","Students, Male - Black","Students, Male - Hispanic","Students, Male - White","Students, Male - Two or More Races","Students, Male - Other","Students, Male - Unknown","Students, Other Gender - American Indian","Students, Other Gender - Asian","Students, Other Gender - 
Native Hawaiian/Other Pacific Islander","Students, Other Gender - Black","Students, Other Gender - Hispanic","Students, Other Gender - White","Students, Other Gender - Two or More Races","Students, Other Gender - Other Race","Students, Other Gender - Unknown Race","Students, Unknown Gender - American Indian","Students, Unknown Gender - Asian","Students, Unknown Gender - 
Native Hawaiian/Other Pacific Islander","Students, Unknown Gender - Black","Students, Unknown Gender - Hispanic","Students, Unknown Gender - White","Students, Unknown Gender - Two or More Races","Students, Unknown Gender - Other Race","Students, Unknown Gender - Unknown Race","Race/Gender
Total","Hispanic, Latino, or Spanish",Middle Eastern or North African (MENA),"Two or More
Ethnicities",None Listed,Unknown,"TOTAL
Ethnicity",Community Eligibility Provision,eligible FRPL,not eligible FRPL,unknown FRPL,FRPL - TOTAL (auto),Adj Youth - Yes,Adj Youth - No,Adj Youth - Unknown,Adj Youth - TOTAL (auto),Child of military - Yes,Child of military - No,Child of military - Unknown,Child of military - TOTAL (auto),ELL - Yes,ELL - No,ELL - Unknown,ELL - TOTAL (auto),Exposed to Trauma - Yes,Exposed to Trauma - No,Exposed to Trauma - Unknown,Exposed to Trauma - TOTAL (auto),Foster care/Group home - Yes,Foster care/Group home - No,Foster care/Group home - Unknown,Foster care/Group home - TOTAL (auto),Gang Involvement - Yes,Gang Involvement - No,Gang Involvement - Unknown,Gang Involvement - TOTAL (auto),Homeless - Yes,Homeless - No,Homeless - Unknown,Homeless - TOTAL (auto),Incarcerated parent - Yes,Incarcerated parent - No,Incarcerated parent - Unknown,Incarcerated parent - TOTAL (auto),LGBTQ+ - Yes,LGBTQ+ - No,LGBTQ+ - Unknown,LGBTQ+ - TOTAL (auto),Over age/Under credit - Yes,Over age/Under credit - No,Over age/Under credit - Unknown,Over age/Under credit - TOTAL (auto),Pregnant/ Parenting - Yes,Pregnant/ Parenting - No,Pregnant/ Parenting - Unknown,Pregnant/ Parenting - TOTAL (auto),Special Education - Yes,Special Education - No,Special Education - Unknown,Special Education - TOTAL (auto),Substance abuse - Yes,Substance abuse - No,Substance abuse - Unknown,Substance abuse - TOTAL (auto),Attendance: CM students w/ goal,Attendance: CM students met goal,"Attendance: CM students not met, with progress","Attendance: CM students not met, no progress",Behavior: CM students w/ goal,Behavior: CM students met goal,"Behavior: CM students not met, with progress","Behavior: CM students not met, no progress",Academics: CM students w/ goal,Academics: CM students met goal,"Academics: CM students not met, with progress","Academics: CM students not met, no progress",SEL: CM students w/ goal,SEL: CM students met goal,"SEL: CM students not met, with progress","SEL: CM students not met, no progress",SEL Metric Name,High Risk Behavior: CM students w/ goal,High Risk Behavior: CM students met goal,"High Risk Behavior: CM students not met, with progress","High Risk Behavior: CM students not met, no progress",College Readiness: CM students w/ goal,College Readiness: CM students met goal,"College Readiness: CM students not met, with progress","College Readiness: CM students not met, no progress",Career Readiness: CM students w/ goal,Career Readiness: CM students met goal,"Career Readiness: CM students not met, with progress","Career Readiness: CM students not met, no progress",K-11 Promoted,K-11 Graduated,K-11 Retained,K-11 Dropped Out,K-11 Transferred,K-11 GED,K-11 Expelled,K-11 Incarcerated,K-11 Deceased,K-11 Other,K-11 Unknown,K-11 TOTAL (auto),Grade 12 Graduated,Grade 12 Retained,Grade 12 Dropped Out,Grade 12 Transferred,Grade 12 GED,Grade 12 Expelled,Grade 12 Incarcerated,Grade 12 Deceased,Grade 12 Other,Grade 12 Unknown,Grade 12 TOTAL (auto),# of PreK Students,# of College Students,# of addl students (Other and Unknown Grade),EOY Status - TOTAL (auto),Grade 12 Graduated in 4 yrs,# Post-secondary School,Cert/ Apprentice,Associate,Bachelor,# Workforce,# Military,# Other,# Unknown,# Student Unsure,# Not Captured,Postsecondary- TOTAL (auto),Organization ID
LA,CIS of the Gulf South,Esperanza Middle Charter School,Not Reporting,406900,220032302496,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other (SEL), Overall SEAD assessment score, Social Engagement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Fannie C. Williams Charter School,Not Reporting,329932,220026702062,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Overall SEAD assessment score, Social Engagement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Foundation Preparatory,2018/2019 SY,37080,220117002412,CIS Model,No,Public Charter,Combined (any other K-12 combination),Full Time,62,0,278,200,15,78,278,0,0,0,27,2,1,0,1,0,0,0,0,34,8,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,7,0,0,11,12,30,,73,1,4,78,0,75,3,78,1,74,3,78,12,63,3,78,12,0,66,78,4,71,3,78,0,73,5,78,2,69,7,78,2,16,60,78,1,74,3,78,4,71,3,78,0,73,5,78,7,64,7,78,0,75,3,78,70,41,18,10,70,55,9,6,70,22,47,1,0,0,0,0,"Global Engagement (Engagement Survey), Other (SEL), Social Engagement",0,0,0,0,0,0,0,0,0,0,0,0,57,0,4,0,17,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Homer A Plessy Community School,Not Reporting,37298,000000000000,,No,Public Charter,Elementary,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Iberia Middle School,Not Reporting,447884,220072000316,,No,Public School,Middle ,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Academic Mindset (SEAD construct), Overall SEAD assessment score, Self Control (SEAD), Self-Perception (SEAD), Social Awareness (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Inspire Charter Academy,Not Reporting,406258,220054002316,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other (SEL), Overall SEAD assessment score",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,JCFA  Algiers,2018/2019 SY,37354,000000000000,CIS Model,Yes,Public Charter,High,Full Time,36,0,110,23,30,57,80,0,0,0,17,0,2,0,0,0,0,0,0,27,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,1,0,2,,56,1,0,57,16,41,0,57,0,56,1,57,0,57,0,57,54,0,3,57,5,52,0,57,13,29,15,57,3,54,0,57,6,30,21,57,0,50,7,57,55,2,0,57,4,53,0,57,11,44,2,57,23,21,13,57,36,4,18,14,36,18,15,3,36,2,9,25,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,9,3,5,1,0,1,0,49,2,1,2,1,2,0,0,0,0,0,8,0,0,0,57,1,3,1,2,0,0,0,0,1,0,0,4,33860
LA,CIS of the Gulf South,JCFA  East,2018/2019 SY,37355,220024102370,CIS Model,Yes,Public Charter,High,Full Time,45,0,148,73,40,34,107,0,0,0,4,0,14,1,0,1,0,0,0,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,0,0,0,4,,30,1,3,34,11,20,3,34,0,31,3,34,1,29,4,34,20,2,12,34,1,28,5,34,1,26,7,34,1,30,3,34,4,23,7,34,1,19,14,34,30,1,3,34,1,30,3,34,12,17,5,34,5,17,12,34,33,17,10,6,34,30,3,1,33,10,20,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,3,0,0,0,0,0,0,28,2,4,0,0,0,0,0,0,0,0,6,0,0,0,34,1,0,0,0,0,2,0,0,0,0,0,2,33860
LA,CIS of the Gulf South,JCFA Lafayette,Not Reporting,329931,220030102445,,Yes,Public Charter,High,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,JCFA Marrero,2018/2019 SY,37356,220084002305,CIS Model,Yes,Public Charter,High,Full Time,10,0,103,7,35,61,68,0,0,0,15,2,7,0,0,0,0,0,0,17,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,5,0,0,3,0,8,,58,0,3,61,15,41,5,61,1,58,2,61,1,57,3,61,44,7,10,61,2,56,3,61,8,50,3,61,10,49,2,61,14,41,6,61,13,44,4,61,55,5,1,61,7,54,0,61,28,32,1,61,17,37,7,61,46,33,8,5,48,43,5,0,47,34,10,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,16,1,1,1,3,0,0,0,52,7,1,0,1,0,0,0,0,0,0,9,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,1,33860
LA,CIS of the Gulf South,Jefferson Island Road Elementary,Not Reporting,536562,220072002085,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Jefferson Rise Charter School,2018/2019 SY,145395,220084002419,CIS Model,No,Public Charter,Combined (any other K-12 combination),Full Time,60,0,426,373,0,51,424,0,0,0,22,1,5,2,4,0,0,0,0,4,3,6,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,7,2,0,16,0,25,,48,3,0,51,0,44,7,51,0,39,12,51,2,49,0,51,8,15,28,51,0,51,0,51,0,51,0,51,0,51,0,51,1,31,19,51,4,21,26,51,13,38,0,51,0,51,0,51,10,38,3,51,0,50,1,51,45,16,9,20,45,45,0,0,45,23,17,5,0,0,0,0,Overall SEAD assessment score,0,0,0,0,0,0,0,0,0,0,0,0,39,0,6,0,6,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Johnston Hopkins Elementary School,Not Reporting,329926,220072000514,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Joseph S Clark,Not Reporting,37390,220022900865,,No,Public Charter,High,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,KIPP Believe Elementary,Not Reporting,716967,220021600958,,Yes,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,KIPP Belive Middle School,Not Reporting,716968,220021600958,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,KIPP East Community Primary,Not Reporting,716949,220024800000,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,KIPP Renaisance,Not Reporting,37444,000000000000,,No,Public Charter,High,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Lafayette Academy Middle School,Not Reporting,406903,220032202495,,No,Public Charter,Middle ,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Emotional Engagement, Overall SEAD assessment score, Social Engagement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Lafayette Academy School,Not Reporting,406902,220032202495,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Behavior Engagement, Cognitive Engagement, Emotional Engagement, Other (SEL), Overall SEAD assessment score, Self Control (SEAD), Social Awareness (SEAD), Social Engagement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
la,CIS of the Gulf South,Langston Hughes Academy,2018/2019 SY,210423,220020600976,CIS Model,No,Public Charter,Combined (any other K-12 combination),Full Time,50,0,804,600,99,105,705,0,0,0,36,0,0,0,0,0,0,0,0,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,22,3,25,,56,1,48,105,1,62,42,105,0,53,52,105,1,72,32,105,39,7,59,105,0,69,36,105,0,68,37,105,2,69,34,105,10,28,67,105,0,30,75,105,1,62,42,105,0,82,23,105,21,63,21,105,0,71,34,105,102,36,20,46,101,87,1,13,102,49,27,26,0,0,0,0,"Other (SEL), Overall SEAD assessment score",0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,2,0,0,0,0,2,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Laureate Academy Charter School,Not Reporting,541444,220084002411,,No,Public Charter,Elementary,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Social Engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Lawrence D. Crocker College Prep,Not Reporting,329925,220026602352,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Live Oak,2018/2019 SY,242058,220030202460,CIS Model,No,Public Charter,Combined (any other K-12 combination),Full Time,150,0,509,350,165,158,508,0,0,0,65,11,7,0,0,0,0,0,0,60,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,8,0,0,5,13,26,,157,0,1,158,1,61,96,158,1,60,97,158,23,132,3,158,24,9,125,158,0,108,50,158,0,67,91,158,5,120,33,158,7,38,113,158,1,90,67,158,2,151,5,158,0,157,1,158,24,132,2,158,0,84,74,158,155,63,29,63,155,136,9,10,154,116,25,13,0,0,0,0,"Other (SEL), Overall SEAD assessment score",0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,6,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Loreauville Elementary,Not Reporting,518268,220072000522,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Loreauville High School,Not Reporting,594239,220072000523,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Global Engagement (SEAD), Other (SEL), Self Control (SEAD), Self-Perception (SEAD), Social Awareness (SEAD), Social Support (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Magnolia Elementary,Not Reporting,452424,220072002078,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Academic Mindset (SEAD construct), Other (SEL), Overall SEAD assessment score, Self Control (SEAD), Self-Perception (SEAD), Social Awareness (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
